0,1,2,3,4,5,Output
4.69244451556213,7.076585996147537,5.8082998042953635,4.075765016128216,2.8733380974279497,5.529672137887556,0.0
2.2522950566434257,3.4662622253085775,6.424368926622796,9.933727702870645,9.83875308794189,5.181802710466192,0.0
1.1991052330279464,9.715986538310094,9.309782016661197,2.5043142740304534,6.014339107488566,9.724921286665523,1.0
3.5827809193357205,6.969817831187152,7.36448621132837,9.203941430370271,8.378252398565992,6.866489797558182,0.0
4.388350228513447,3.9536353735371357,4.6372726062389695,6.880005256911704,5.009597360852084,7.329460678367704,1.0
5.061610694181296,8.87986037194436,7.817931102073531,2.4368903364066345,4.189560622145824,4.693913493301077,0.0
9.901115306789897,3.537690661403665,3.2420983821606715,4.171938993787675,2.7801177156938133,5.086851042120369,0.0
9.576503782230269,9.545982081526232,3.3810375230096055,1.0217655008393207,3.979677104101359,8.884855443762428,0.0
3.668280533013148,9.861287110940744,8.220538758355895,3.6532195393964533,3.240682095801674,4.330574893264832,0.0
7.715552096962394,7.512019927719969,7.5565010564254695,1.5471053113899849,6.3411903045502385,1.3407399389559713,0.0
5.374950453150724,8.707297383317135,1.175055600860611,7.8168443476385185,9.724038057948821,4.260780810719688,1.0
4.278147015122492,6.786410462374086,5.642326470921942,3.8886575315044385,3.342593698929122,8.682471501645455,0.0
7.735053160182577,8.565188469746069,5.176906326961483,2.8483638347769187,4.098232885969367,6.580075314116858,0.0
2.6694302897097266,4.670579767643843,4.1770393899819265,4.452444514767957,7.766005163828561,9.224550143816241,0.0
6.726533961766271,2.7208591912087887,1.9755089603432132,4.585462527846916,8.683503853456342,7.1586113864746075,0.0
9.06993844279872,9.58070714914506,4.635000845273773,9.748504970929751,4.814642339438199,9.719175672728216,0.0
3.5768952188197884,4.021097399765392,5.556951550885632,2.749423666652058,9.025816334882574,7.714747275275895,0.0
8.125353934765297,4.5732238925481745,1.6652700625665957,1.7805214335691688,9.946734550107283,5.704771279578344,0.0
9.043306528766248,9.750878404280904,1.9331268011934712,9.43850609358806,9.891665731270786,9.42247363169932,1.0
6.168712053537366,5.357035942770181,6.704918714208707,7.585176640021626,4.436046450293288,9.839912593583449,1.0
